tissue	assay	species	filename	original
Differentiating_neurons_eomes	ATAC	danio_rerio	GSE243256_hpf48_Differentiating_neurons_eomes.narrow_peak.gz	GSE243256_hpf48_Differentiating_neurons_eomes.narrow_peak.gz
Eye_cornea	ATAC	danio_rerio	GSE243256_hpf72_Eye_cornea.narrow_peak.gz	GSE243256_hpf72_Eye_cornea.narrow_peak.gz
Pharyngeal_epidermis	ATAC	danio_rerio	GSE243256_hpf22_Pharyngeal_epidermis.narrow_peak.gz	GSE243256_hpf22_Pharyngeal_epidermis.narrow_peak.gz
Cranial_neural_crest	ATAC	danio_rerio	GSE243256_hpf22_Cranial_neural_crest.narrow_peak.gz	GSE243256_hpf22_Cranial_neural_crest.narrow_peak.gz
Periderm	ATAC	danio_rerio	GSE243256_hpf38_Periderm.narrow_peak.gz	GSE243256_hpf38_Periderm.narrow_peak.gz
Gut	ATAC	danio_rerio	GSE243256_hpf22_Gut.narrow_peak.gz	GSE243256_hpf22_Gut.narrow_peak.gz
Liver_cells	ATAC	danio_rerio	GSE243256_hpf72_Liver_cells.narrow_peak.gz	GSE243256_hpf72_Liver_cells.narrow_peak.gz
Gut	ATAC	danio_rerio	GSE243256_hpf38_Gut.narrow_peak.gz	GSE243256_hpf38_Gut.narrow_peak.gz
Gut	ATAC	danio_rerio	GSE243256_hpf30_Gut.narrow_peak.gz	GSE243256_hpf30_Gut.narrow_peak.gz
Posterior_ventral_phox2bb	ATAC	danio_rerio	GSE243256_hpf22_Posterior_ventral_phox2bb.narrow_peak.gz	GSE243256_hpf22_Posterior_ventral_phox2bb.narrow_peak.gz
Pectoral_fin_field	ATAC	danio_rerio	GSE243256_hpf24_Pectoral_fin_field.narrow_peak.gz	GSE243256_hpf24_Pectoral_fin_field.narrow_peak.gz
Immune_cells	ATAC	danio_rerio	GSE243256_hpf48_Immune_cells.narrow_peak.gz	GSE243256_hpf48_Immune_cells.narrow_peak.gz
Sclerotome	ATAC	danio_rerio	GSE243256_hpf24_Sclerotome.narrow_peak.gz	GSE243256_hpf24_Sclerotome.narrow_peak.gz
Pigment_cells	ATAC	danio_rerio	GSE243256_hpf72_Pigment_cells.narrow_peak.gz	GSE243256_hpf72_Pigment_cells.narrow_peak.gz
Blood_island	ATAC	danio_rerio	GSE243256_hpf18_Blood_island.narrow_peak.gz	GSE243256_hpf18_Blood_island.narrow_peak.gz
Pharyngeal_arch	ATAC	danio_rerio	GSE243256_hpf42_Pharyngeal_arch.narrow_peak.gz	GSE243256_hpf42_Pharyngeal_arch.narrow_peak.gz
Mesoderm_adaxial_cells	ATAC	danio_rerio	GSE243256_hpf11_Mesoderm_adaxial_cells.narrow_peak.gz	GSE243256_hpf11_Mesoderm_adaxial_cells.narrow_peak.gz
Tailbud_mesoderm	ATAC	danio_rerio	GSE243256_hpf12_Tailbud_mesoderm.narrow_peak.gz	GSE243256_hpf12_Tailbud_mesoderm.narrow_peak.gz
Hindbrain_ventral	ATAC	danio_rerio	GSE243256_hpf38_Hindbrain_ventral.narrow_peak.gz	GSE243256_hpf38_Hindbrain_ventral.narrow_peak.gz
Tailbud_Mesoderm	ATAC	danio_rerio	GSE243256_hpf20_Tailbud_Mesoderm.narrow_peak.gz	GSE243256_hpf20_Tailbud_Mesoderm.narrow_peak.gz
Lateral_line_primordium	ATAC	danio_rerio	GSE243256_hpf38_Lateral_line_primordium.narrow_peak.gz	GSE243256_hpf38_Lateral_line_primordium.narrow_peak.gz
Notochord	ATAC	danio_rerio	GSE243256_hpf8_Notochord.narrow_peak.gz	GSE243256_hpf8_Notochord.narrow_peak.gz
Neural_plate_anterior	ATAC	danio_rerio	GSE243256_hpf11_Neural_plate_anterior.narrow_peak.gz	GSE243256_hpf11_Neural_plate_anterior.narrow_peak.gz
Sclerotome	ATAC	danio_rerio	GSE243256_hpf18_Sclerotome.narrow_peak.gz	GSE243256_hpf18_Sclerotome.narrow_peak.gz
Notochord	ATAC	danio_rerio	GSE243256_hpf72_Notochord.narrow_peak.gz	GSE243256_hpf72_Notochord.narrow_peak.gz
YSL	ATAC	danio_rerio	GSE243256_hpf9_YSL.narrow_peak.gz	GSE243256_hpf9_YSL.narrow_peak.gz
