tissue	assay	species	filename	original
Kidney_Primary_6:Kidney	ATAC	homo_sapiens	Kidney_Primary_6_ATAC.bed.gz	ENCFF864MCH,ENCFF711OTT,ENCFF656ZDT,ENCFF065WMY
Large Intestine_Primary_1:IntestineLg	ATAC	homo_sapiens	Large Intestine_Primary_1_ATAC.bed.gz	ENCFF891YFJ,ENCFF742DDE,ENCFF792BMH,ENCFF571EWS,ENCFF781UNV,ENCFF564MOW,ENCFF064LNR,ENCFF601DZA,ENCFF023CGX,ENCFF851FOG,ENCFF575ZQS,ENCFF492ANM,ENCFF039GJV
Large Intestine_Primary_2:IntestineLg	ATAC	homo_sapiens	Large Intestine_Primary_2_ATAC.bed.gz	ENCFF941JGP
Liver_Cancer_1:hepatocellular,carcinoma	ATAC	homo_sapiens	Liver_Cancer_1_ATAC.bed.gz	ENCFF419JVG,ENCFF401PML,ENCFF978TLN,ENCFF730KYY
Liver_Lines_0:H9,hepatocytes,differentiated	ATAC	homo_sapiens	Liver_Lines_0_ATAC.bed.gz	ENCFF341CBJ
Liver_Primary_0:hfliver	ATAC	homo_sapiens	Liver_Primary_0_ATAC.bed.gz	ENCFF795ZXN
Lung_Cancer_1:EGFR,Adenocarcinoma,nonsmall,lung,mutation	ATAC	homo_sapiens	Lung_Cancer_1_ATAC.bed.gz	ENCFF762KVZ,ENCFF146FUP
Lung_Cancer_2:line,carcinoma,derived,lung,large,epithelial	ATAC	homo_sapiens	Lung_Cancer_2_ATAC.bed.gz	ENCFF366CTW,ENCFF563MTM,ENCFF184IAA,ENCFF165VXP
Lung_Lines_1:Tamoxifan,fibroblasts,IMR90,senescence,lung,induced,Embryonic,hTERT,immortilized	ATAC	homo_sapiens	Lung_Lines_1_ATAC.bed.gz	ENCFF174SCL,ENCFF314WLU,ENCFF359FIE,ENCFF341EUT,ENCFF136BKY,ENCFF387OVT,ENCFF349XFN
Lung_Lines_2:Fibroblasts	ATAC	homo_sapiens	Lung_Lines_2_ATAC.bed.gz	ENCFF847WCQ
Lung_Primary_1:Normal,Microvascular,Bronchial,Endothelial,Fibroblasts,w,fibroblast,RA,Lung,Epithelial	ATAC	homo_sapiens	Lung_Primary_1_ATAC.bed.gz	ENCFF275EBI,ENCFF996LLH,ENCFF552OFK,ENCFF036MBN,ENCFF889QFF,ENCFF269IIY,ENCFF526RGO,ENCFF332FRV,ENCFF210KLW
Lung_Primary_2:Endothelial,Lung,Microvascular	ATAC	homo_sapiens	Lung_Primary_2_ATAC.bed.gz	ENCFF666HBD,ENCFF652FLB
Lung_Primary_3:Fibroblasts,Lung	ATAC	homo_sapiens	Lung_Primary_3_ATAC.bed.gz	ENCFF196SRL
Lung_Primary_4:Pulmonary,Fibroblasts	ATAC	homo_sapiens	Lung_Primary_4_ATAC.bed.gz	ENCFF292DAQ
Lung_Primary_5:Small,airway,epithelial	ATAC	homo_sapiens	Lung_Primary_5_ATAC.bed.gz	ENCFF265OJW
Lung_Primary_6:Lung	ATAC	homo_sapiens	Lung_Primary_6_ATAC.bed.gz	ENCFF147IHH,ENCFF021CWQ,ENCFF544HTC
Lung_Primary_7:Lung	ATAC	homo_sapiens	Lung_Primary_7_ATAC.bed.gz	ENCFF579VYL,ENCFF836AEX,ENCFF184MGB,ENCFF268MQV,ENCFF920ZND,ENCFF658GGM,ENCFF202VOA,ENCFF065ZTS,ENCFF123UKG,ENCFF163BQZ,ENCFF293VAO,ENCFF872WMD,ENCFF812CLF,ENCFF608KSU,ENCFF967WJI,ENCFF876LHW,ENCFF903UJL,ENCFF273DPJ,ENCFF953JYK,ENCFF818BSH,ENCFF740HWF,ENCFF967ENB,ENCFF433SXX,ENCFF706XXE,ENCFF460HID,ENCFF196ZIZ,ENCFF337VNG,ENCFF761OXT,ENCFF260QOY,ENCFF845SSH,ENCFF995EJE,ENCFF013GXE,ENCFF542BCA,ENCFF137CGX,ENCFF314TFZ,ENCFF327PBD,ENCFF873PNF
Mammary_Cancer_1:Mammary,epithelial	ATAC	homo_sapiens	Mammary_Cancer_1_ATAC.bed.gz	ENCFF783BQK,ENCFF692KJI,ENCFF831FZB
Mammary_Cancer_2:mammary,line,gland,carcinoma,Breast,treated,adenocarcinoma,Mammary,derived,estrodiol,beta,ductal,epithelial	ATAC	homo_sapiens	Mammary_Cancer_2_ATAC.bed.gz	ENCFF988IHF,ENCFF653UII,ENCFF065CBM,ENCFF120QFI,ENCFF005UTF,ENCFF268VRF,ENCFF958YJM,ENCFF283RRA
Mammary_Primary_1:Mammary,epithelial	ATAC	homo_sapiens	Mammary_Primary_1_ATAC.bed.gz	ENCFF026VBN,ENCFF591ALO,ENCFF241AGY,ENCFF086QZU
Mammary_Primary_2:vHMEC	ATAC	homo_sapiens	Mammary_Primary_2_ATAC.bed.gz	ENCFF577ZQB
Mammary_Primary_3:Fibroblasts,Mammary	ATAC	homo_sapiens	Mammary_Primary_3_ATAC.bed.gz	ENCFF751BDN
Mesoderm_Cancer_1:Promyelocyticleukemia	ATAC	homo_sapiens	Mesoderm_Cancer_1_ATAC.bed.gz	ENCFF210NFY,ENCFF425CLS
Mesoderm_Primary_0:CD3	ATAC	homo_sapiens	Mesoderm_Primary_0_ATAC.bed.gz	ENCFF160AUN
Muscle_Cancer_1:rhabdomyosarcoma,muscle	ATAC	homo_sapiens	Muscle_Cancer_1_ATAC.bed.gz	ENCFF881ORY,ENCFF379OXP
Muscle_Lines_1:pectoralis,muscle,myoblasts,satellite,Skeletal,major,skeletal,derived,Myoblasts,Muscle	ATAC	homo_sapiens	Muscle_Lines_1_ATAC.bed.gz	ENCFF159YXI,ENCFF380ZXI,ENCFF520KFV,ENCFF351ABO,ENCFF400SVZ,ENCFF650EHR
Muscle_Lines_2:muscle,pectoralis,myoblasts,satellite,major,skeletal,derived	ATAC	homo_sapiens	Muscle_Lines_2_ATAC.bed.gz	ENCFF628RBU,ENCFF004DYM,ENCFF082LNF
Muscle_Primary_1:Muscletrunk,Muscleback,Muscleleg	ATAC	homo_sapiens	Muscle_Primary_1_ATAC.bed.gz	ENCFF395JPZ,ENCFF365YVU,ENCFF937ZHL
Muscle_Primary_2:Musclearm,Muscleback,Muscleleg	ATAC	homo_sapiens	Muscle_Primary_2_ATAC.bed.gz	ENCFF361ERE,ENCFF900QXY,ENCFF405YCQ,ENCFF950BAH,ENCFF364CXO,ENCFF778ZPZ,ENCFF282ZBH,ENCFF246BOG,ENCFF530IQS,ENCFF366WNA,ENCFF365YRD,ENCFF895NTW,ENCFF924VTL,ENCFF100IYY,ENCFF935QGB,ENCFF283NXM,ENCFF589GPU,ENCFF937YSI,ENCFF406YNI,ENCFF055BZO
